split,seed,model,accuracy,f1_macro,fit_time_s,predict_time_s,peak_mem_kb
80/20,43,Softmax_GD,0.8794102159031069,0.8704234125823737,0.5025016839999807,0.00043466399984026793,4169.3359375
80/20,43,LDA,0.8952080042127436,0.9141577720311769,0.0031756170001244755,0.1364510789999258,678.89453125
80/20,43,QDA,0.8894154818325435,0.9091534748943629,0.0035035149994655512,0.11024784500023088,690.0146484375
80/20,43,GNB,0.885202738283307,0.8966331288484651,0.003640109999651031,0.0009379249995618011,1015.3203125
80/20,44,OVR_GD,0.8572933122696156,0.7705860686528168,0.6906794899996385,0.0006761909999113414,1756.5
80/20,44,OVO_GD,0.9004739336492891,0.8887056757930774,0.7207480569995823,0.05608572499932052,1416.6845703125
80/20,44,Softmax_GD,0.8836229594523434,0.8701743302910685,0.4782123690001754,0.0003175689998897724,4169.390625
80/20,44,LDA,0.9110057925223802,0.926525355067484,0.003163467999911518,0.13042147499982093,678.89453125
80/20,44,QDA,0.9020537124802528,0.9217147969965739,0.003400374000193551,0.11045086400008586,690.068359375
80/20,44,GNB,0.9025803054239073,0.9093231257536946,0.0035772880000877194,0.0009171229994535679,1015.3203125
80/20,45,OVR_GD,0.8551869404949973,0.7875900120538858,0.7131046770000466,0.0006694940002489602,1756.5
80/20,45,OVO_GD,0.8915218536071616,0.8904596682235735,0.7169835749991762,0.05548556499888946,1416.6845703125
80/20,45,Softmax_GD,0.8762506582411795,0.8748046442738079,0.4824671820006188,0.0003343939988553757,4169.3359375
80/20,45,LDA,0.9010005265929436,0.922212412808095,0.0032472549992235145,0.13181230500049423,678.89453125
80/20,45,QDA,0.8920484465508162,0.9162962696100385,0.003420252000069013,0.11031413400087331,690.0146484375
80/20,45,GNB,0.8931016324381253,0.9034117000008143,0.003630909999628784,0.0009615919989300892,1015.3203125
80/20,46,OVR_GD,0.8546603475513428,0.7692091145107202,0.7152099309987534,0.0007078369999362621,1756.5
80/20,46,OVO_GD,0.9015271195365983,0.9003521518944629,0.7183157449999271,0.056168904000514885,1417.4931640625
80/20,46,Softmax_GD,0.8809899947340706,0.8817512875257612,0.4895777689998795,0.00033070400058932137,4169.3359375
80/20,46,LDA,0.8973143759873617,0.9184044543889632,0.0032572510008321842,0.13143733399920166,678.89453125
80/20,46,QDA,0.8978409689310163,0.9199480469102211,0.0034164389999205014,0.11105662899899471,689.9072265625
80/20,46,GNB,0.8909952606635071,0.9033430953272942,0.003737802000614465,0.0012089609990653116,1015.3203125
