split,seed,corruption_rate,imputer,model,accuracy,f1_macro,fit_time_s,predict_time_s,peak_mem_kb
60/40,43,0.1,mean,LDA,0.8874538745387454,0.8888670746682995,0.00230560000272817,0.4848257999983616,526.203125
60/40,43,0.1,mean,QDA,0.8112809699525567,0.8376163261870477,0.003504099997371668,0.41596620000200346,537.177734375
60/40,43,0.1,mean,GNB,0.8914074855034264,0.8966805837882578,0.0045003999985056,0.0023414999996020924,1194.7265625
60/40,43,0.1,median,OVR_GD,0.8437005798629414,0.7579781402003282,1.012622400001419,0.0011773999976867344,1339.484375
60/40,43,0.1,median,OVO_GD,0.8811280969952556,0.8694083137386478,1.3515155999994022,0.18396600000050967,1105.935546875
60/40,43,0.1,median,Softmax_GD,0.8629414865577227,0.8471763265561888,0.6178371999994852,0.0006985999971220735,3147.2734375
60/40,43,0.1,median,LDA,0.8853452820242488,0.885290659617492,0.0027711000002454966,0.4874270999971486,526.203125
60/40,43,0.1,median,QDA,0.8078545071164998,0.8338878603191364,0.0033856000009109266,0.3959742000006372,537.177734375
60/40,43,0.1,median,GNB,0.8903531892461781,0.8956460707424585,0.0028761000030499417,0.0019365999978617765,1194.7265625
60/40,43,0.1,knn,OVR_GD,0.8555614127569847,0.777857130144571,0.879938600002788,0.0015566000001854263,1339.484375
60/40,43,0.1,knn,OVO_GD,0.8987875593041644,0.8941928107497252,1.3118059000007634,0.18508250000013504,1106.560546875
60/40,43,0.1,knn,Softmax_GD,0.8811280969952556,0.8735694256320345,0.603590599999734,0.0007933999986562412,3147.2734375
60/40,43,0.1,knn,LDA,0.9024775962045335,0.9185701651015341,0.002929099999164464,0.4839419000018097,526.203125
60/40,43,0.1,knn,QDA,0.8966789667896679,0.9128217234497246,0.0037961999987601303,0.3867145000003802,537.2236328125
60/40,43,0.1,knn,GNB,0.8945703742751713,0.9029040906159649,0.0031779000019014347,0.0016985999973258004,1190.0078125
60/40,43,0.2,mean,OVR_GD,0.8257775434897207,0.7447171191717038,0.935639600000286,0.0010686999994504731,1339.484375
60/40,43,0.2,mean,OVO_GD,0.8632050606220348,0.8488060819447536,1.3364588000004005,0.19478439999875263,1105.935546875
60/40,43,0.2,mean,Softmax_GD,0.8426462836056932,0.8218560068024544,0.6388584999986051,0.0008302000023832079,3147.2734375
60/40,43,0.2,mean,LDA,0.8697944122298366,0.8670514340305807,0.003126299998257309,0.48100999999951455,526.203125
60/40,43,0.2,mean,QDA,0.8695308381655246,0.879783357827422,0.0028358000017760787,0.40918969999984256,537.177734375
60/40,43,0.2,mean,GNB,0.8877174486030575,0.8935438737146653,0.004951700000674464,0.002213399999163812,1194.7265625
60/40,43,0.2,median,OVR_GD,0.8252503953610965,0.7448328514291868,0.9997356999992917,0.0018567000006441958,1339.484375
