split,seed,model,sigma,f1_macro,f1_drop,fit_time_s,predict_time_s,peak_mem_kb
60/40,45,OVR_GD,1.0,0.5383032472058591,0.2376316929213057,1.4519664999679662,0.0017444000113755465,1273.9765625
60/40,45,OVO_GD,0.0,0.8937963342567282,0.0,2.2376100999535993,0.37737110001035035,1078.357421875
60/40,45,OVO_GD,0.1,0.8888712636656546,0.00492507059107361,2.213325899967458,0.3774703000090085,1078.333984375
60/40,45,OVO_GD,0.5,0.7967218197327445,0.09707451452398375,2.2307934999698773,0.3659701999858953,1078.333984375
60/40,45,OVO_GD,1.0,0.602817992243707,0.2909783420130212,2.2789961000089534,0.368368899973575,1078.333984375
60/40,45,Softmax_GD,0.0,0.8792648225807481,0.0,0.5820566000184044,0.0007689999765716493,3147.2265625
60/40,45,Softmax_GD,0.1,0.8664525333439828,0.012812289236765362,0.583904099999927,0.0008489000028930604,3147.203125
60/40,45,Softmax_GD,0.5,0.7662212545359581,0.11304356804478999,0.5805684999795631,0.0007717999978922307,3147.203125
60/40,45,Softmax_GD,1.0,0.5702492162770225,0.3090156063037256,0.585797400039155,0.0007417999440804124,3147.203125
60/40,45,LDA,0.0,0.9226528919955089,0.0,0.004222599964123219,0.6945928999921307,526.3671875
60/40,45,LDA,0.1,0.3766225057484617,0.5460303862470473,0.0036235000006854534,0.7019853999954648,526.34375
60/40,45,LDA,0.5,0.14208676656063207,0.7805661254348768,0.0037116999737918377,0.6867239999701269,526.25
60/40,45,LDA,1.0,0.12007843383516814,0.8025744581603408,0.004137000010814518,0.6800186000182293,526.25
60/40,45,QDA,0.0,0.9200013043973608,0.0,0.004465400008484721,0.5835662999888882,537.1318359375
60/40,45,QDA,0.1,0.15241998848596497,0.7675813159113959,0.004282899957615882,0.5673321000067517,536.9833984375
60/40,45,QDA,0.5,0.12496501132791005,0.7950362930694508,0.004233899991959333,0.5833090999512933,537.0126953125
60/40,45,QDA,1.0,0.11357696684230216,0.8064243375550587,0.0047957999631762505,0.5746001999941655,536.9208984375
60/40,45,GNB,0.0,0.9062479816772596,0.0,0.004731799999717623,0.002500500006135553,1194.953125
60/40,45,GNB,0.1,0.741780984171558,0.1644669975057016,0.0046799000119790435,0.0026481999666430056,1194.796875
60/40,45,GNB,0.5,0.5895767299619458,0.31667125171531385,0.004808900004718453,0.002438900002744049,1194.8203125
60/40,45,GNB,1.0,0.3350830764159968,0.5711649052612628,0.004670499998610467,0.0024151999969035387,1194.8671875
60/40,46,OVR_GD,0.0,0.7791737194852518,0.0,1.4180012999568135,0.0016244000289589167,1273.671875
60/40,46,OVR_GD,0.1,0.7682833382860446,0.010890381199207266,1.5406075000064448,0.0020229999790899456,1273.671875
60/40,46,OVR_GD,0.5,0.6860905539498978,0.093083165535354,1.4827693999977782,0.0018275000038556755,1273.671875
60/40,46,OVR_GD,1.0,0.5404707778076882,0.23870294167756367,1.5112328000250272,0.0016565999831072986,1273.6953125
60/40,46,OVO_GD,0.0,0.8929819517009009,0.0,2.4785573999979533,0.3733819000190124,1077.560546875
60/40,46,OVO_GD,0.1,0.8869009343947506,0.006081017306150294,2.4646728999796323,0.379437500028871,1078.169921875
60/40,46,OVO_GD,0.5,0.78883540736004,0.1041465443408609,2.291681599977892,0.37113509996561334,1077.537109375
60/40,46,OVO_GD,1.0,0.5959977657507863,0.29698418595011455,2.277629700023681,0.3672647000057623,1077.537109375
60/40,46,Softmax_GD,0.0,0.8721983464538806,0.0,0.5805392999900505,0.0008954000077210367,3147.2265625
60/40,46,Softmax_GD,0.1,0.8705360831195862,0.0016622633342944226,0.5768668000237085,0.000769199978094548,3147.203125
60/40,46,Softmax_GD,0.5,0.7565383037089465,0.11566004274493413,0.581659099960234,0.0007456999737769365,3147.203125
60/40,46,Softmax_GD,1.0,0.5629011891706296,0.309297157283251,0.5781245999969542,0.0007680000271648169,3147.203125
60/40,46,LDA,0.0,0.9166885441057351,0.0,0.0038431999855674803,0.7009187000221573,527.0
60/40,46,LDA,0.1,0.36682887531027697,0.5498596687954581,0.0036675999872386456,0.6874339000205509,526.34375
60/40,46,LDA,0.5,0.13748579117971568,0.7792027529260194,0.0036912999930791557,0.688259799964726,526.25
60/40,46,LDA,1.0,0.11962748885775089,0.7970610552479842,0.004905999987386167,0.687149400007911,526.25
60/40,46,QDA,0.0,0.9225111592144344,0.0,0.004618800012394786,0.5871042999788187,537.1318359375
60/40,46,QDA,0.1,0.14803719647242217,0.7744739627420122,0.005110900034196675,0.6407036000164226,537.029296875
60/40,46,QDA,0.5,0.11572599731383786,0.8067851619005966,0.004218299989588559,0.5749374000006355,536.966796875
60/40,46,QDA,1.0,0.09809499769467209,0.8244161615197623,0.004337700025644153,0.5790874999947846,536.966796875
60/40,46,GNB,0.0,0.8996812450744681,0.0,0.004959199985023588,0.0024812999763526022,1194.953125
60/40,46,GNB,0.1,0.7391317523435161,0.16054949273095198,0.005250800051726401,0.002547800017055124,1194.796875
60/40,46,GNB,0.5,0.6008672302120912,0.2988140148623769,0.005204199987929314,0.0025963999796658754,1194.8203125
60/40,46,GNB,1.0,0.3539214227185337,0.5457598223559343,0.005137200001627207,0.002669100009370595,1194.8671875
70/30,42,OVR_GD,0.0,0.7804589727422467,0.0,1.539957200002391,0.0014036999782547355,1469.73046875
70/30,42,OVR_GD,0.1,0.7696098938550963,0.010849078887150476,1.5284341999795288,0.0013981999945826828,1469.73046875
70/30,42,OVR_GD,0.5,0.6921586503187566,0.08830032242349017,1.5404248999548145,0.001403000031132251,1469.73046875
70/30,42,OVR_GD,1.0,0.5438491441367445,0.23660982860550228,1.5383405999746174,0.00152009999146685,1470.38671875
70/30,42,OVO_GD,0.0,0.8966398922248863,0.0,2.3776960999821313,0.27992150001227856,1225.2978515625
70/30,42,OVO_GD,0.1,0.8909998108229329,0.0056400814019533785,2.4805217999964952,0.28374849999090657,1225.2744140625
70/30,42,OVO_GD,0.5,0.7942399037977131,0.10239998842717313,2.376746199966874,0.2732263000216335,1225.2744140625
70/30,42,OVO_GD,1.0,0.6230852651634581,0.2735546270614282,2.3511250000447035,0.27263769996352494,1225.9072265625
70/30,42,Softmax_GD,0.0,0.8791231412165057,0.0,0.6591397000011057,0.0005814000032842159,3657.71875
70/30,42,Softmax_GD,0.1,0.8720983491347599,0.007024792081745779,0.6622166000306606,0.0006072000251151621,3657.6953125
70/30,42,Softmax_GD,0.5,0.7656364217419406,0.11348671947456512,0.6572943999781273,0.0006358000100590289,3657.6953125
70/30,42,Softmax_GD,1.0,0.5875530052158293,0.2915701360006764,0.6577636000001803,0.0006058000144548714,3657.6953125
70/30,42,LDA,0.0,0.9252023917640881,0.0,0.004051500000059605,0.5276520000188611,602.6171875
70/30,42,LDA,0.1,0.3775025706356819,0.5476998211284063,0.0041668000048957765,0.5175407000351697,602.59375
70/30,42,LDA,0.5,0.11548564378381533,0.8097167479802728,0.004053200013004243,0.5231118000228889,602.5
70/30,42,LDA,1.0,0.10749261725422145,0.8177097745098667,0.005051999993156642,0.5133210999774747,602.5
70/30,42,QDA,0.0,0.922001586831989,0.0,0.0046258000074885786,0.45707680005580187,613.51953125
70/30,42,QDA,0.1,0.1583811062219689,0.7636204806100201,0.005015100003220141,0.46650290000252426,613.2333984375
70/30,42,QDA,0.5,0.11391016728326837,0.8080914195487205,0.004606799979228526,0.46017350000329316,613.1708984375
70/30,42,QDA,1.0,0.10636279576552034,0.8156387910664686,0.005458800005726516,0.4538693999638781,613.1708984375
70/30,42,GNB,0.0,0.9060206822319022,0.0,0.005364099983125925,0.0025166000123135746,913.8125
70/30,42,GNB,0.1,0.7434405293890315,0.16258015284287075,0.0052064000046812,0.0019921999773941934,913.65625
70/30,42,GNB,0.5,0.6034346899983538,0.30258599223354843,0.005675800028257072,0.0022276000236161053,913.6796875
70/30,42,GNB,1.0,0.35158913274999287,0.5544315494819094,0.005536700016818941,0.0022373999818228185,913.7265625
70/30,43,OVR_GD,0.0,0.7728745576312936,0.0,1.5987301000277512,0.0015284999972209334,1469.73046875
70/30,43,OVR_GD,0.1,0.7683264085775711,0.004548149053722583,1.5334354999940842,0.0013696000096388161,1469.73046875
70/30,43,OVR_GD,0.5,0.6718083755859896,0.10106618204530404,1.5337133000139147,0.0017166000325232744,1469.73046875
70/30,43,OVR_GD,1.0,0.5478319698753742,0.22504258775591945,1.5329728999640793,0.0014043999835848808,1469.75390625
70/30,43,OVO_GD,0.0,0.8867082766296176,0.0,2.3641848000115715,0.2763971000094898,1225.2978515625
70/30,43,OVO_GD,0.1,0.8811484203921378,0.005559856237479788,2.546186799998395,0.2779015999985859,1225.9072265625
70/30,43,OVO_GD,0.5,0.7701944076826746,0.11651386894694304,2.537384999974165,0.28098689997568727,1225.2744140625
70/30,43,OVO_GD,1.0,0.6102143909220717,0.27649388570754585,2.6100257000070997,0.2845841000089422,1225.2744140625
70/30,43,Softmax_GD,0.0,0.870599888309423,0.0,0.6783419999992475,0.0006515999557450414,3657.71875
70/30,43,Softmax_GD,0.1,0.8638705168578767,0.006729371451546284,0.6766667999909259,0.0006076000281609595,3657.6953125
70/30,43,Softmax_GD,0.5,0.7344572402347593,0.1361426480746637,0.6666745000402443,0.0005954999942332506,3658.328125
70/30,43,Softmax_GD,1.0,0.5819464739175639,0.2886534143918591,0.6677502000238746,0.0007063999655656517,3657.6953125
70/30,43,LDA,0.0,0.9166600773831763,0.0,0.0039178000297397375,0.5172977999900468,602.6171875
70/30,43,LDA,0.1,0.37995685161155734,0.536703225771619,0.004154099966399372,0.5220756999915466,602.59375
70/30,43,LDA,0.5,0.13344259199616437,0.783217485387012,0.004682400031015277,0.5215312999789603,602.5
70/30,43,LDA,1.0,0.1095765505263357,0.8070835268568406,0.004177599970716983,0.5242620999924839,602.5
70/30,43,QDA,0.0,0.9147318722871379,0.0,0.005301299970597029,0.4362375999917276,613.3818359375
70/30,43,QDA,0.1,0.15600223845271574,0.7587296338344222,0.004510700004175305,0.43972839997150004,613.2333984375
70/30,43,QDA,0.5,0.10661905564269301,0.8081128166444449,0.004673799965530634,0.4394835000275634,613.2626953125
70/30,43,QDA,1.0,0.11666792215711143,0.7980639501300265,0.004708699998445809,0.44021240004803985,613.1708984375
70/30,43,GNB,0.0,0.8981900185624069,0.0,0.005724599992390722,0.002052399970125407,913.8125
70/30,43,GNB,0.1,0.731696535789658,0.1664934827727489,0.005407499964348972,0.002154799993149936,913.65625
70/30,43,GNB,0.5,0.6096324646411835,0.2885575539212234,0.005188800045289099,0.0019729999476112425,913.6796875
70/30,43,GNB,1.0,0.3503885052759625,0.5478015132864444,0.005400000023655593,0.0021724000107496977,913.7265625
70/30,44,OVR_GD,0.0,0.7740611190561076,0.0,1.525217899994459,0.0014193999813869596,1469.73046875
70/30,44,OVR_GD,0.1,0.7639235062612667,0.010137612794840933,1.546439300000202,0.00167559995315969,1469.73046875
70/30,44,OVR_GD,0.5,0.6644001695439691,0.10966094951213856,1.538748699997086,0.0014912000042386353,1470.36328125
70/30,44,OVR_GD,1.0,0.5269328330951778,0.24712828596092984,1.532444900018163,0.0014441999956034124,1469.75390625
70/30,44,OVO_GD,0.0,0.8800096568146879,0.0,2.3845662000239827,0.28737539995927364,1225.2978515625
70/30,44,OVO_GD,0.1,0.8725741304667933,0.007435526347894572,2.378580799966585,0.2754183000070043,1225.2744140625
70/30,44,OVO_GD,0.5,0.7651425625569735,0.11486709425771435,2.3764875000342727,0.2744599999859929,1225.2744140625
70/30,44,OVO_GD,1.0,0.5873041414619967,0.2927055153526912,2.440615300030913,0.27414629998384044,1225.2744140625
70/30,44,Softmax_GD,0.0,0.8666269006203129,0.0,0.6589665000210516,0.0007669000187888741,3657.71875
70/30,44,Softmax_GD,0.1,0.8638381808016024,0.002788719818710539,0.6589101999998093,0.0006818000110797584,3657.6953125
70/30,44,Softmax_GD,0.5,0.7433218390015698,0.1233050616187431,0.6601924999849871,0.0006187999970279634,3657.6953125
70/30,44,Softmax_GD,1.0,0.5603617079696901,0.3062651926506228,0.6611985999625176,0.0006073000258766115,3657.6953125
70/30,44,LDA,0.0,0.9235680034042122,0.0,0.0041723999893292785,0.522341999982018,602.6171875
70/30,44,LDA,0.1,0.3513107774943834,0.5722572259098289,0.004340200044680387,0.527874100022018,602.59375
70/30,44,LDA,0.5,0.1463593517637912,0.777208651640421,0.00398259999928996,0.5259063999983482,602.5
70/30,44,LDA,1.0,0.10744049474250093,0.8161275086617112,0.00402560003567487,0.525619900028687,602.5
70/30,44,QDA,0.0,0.9186188439430666,0.0,0.00471289997221902,0.4612076000194065,613.4736328125
70/30,44,QDA,0.1,0.14328439266781734,0.7753344512752492,0.005002199963200837,0.436066500027664,613.279296875
70/30,44,QDA,0.5,0.09337917816068197,0.8252396657823846,0.004891699994914234,0.459127800015267,613.2626953125
70/30,44,QDA,1.0,0.10208749018451169,0.8165313537585549,0.004906799993477762,0.4586577999871224,613.216796875
70/30,44,GNB,0.0,0.9099993029785349,0.0,0.005238599958829582,0.0021229999838396907,913.8125
