split,seed,model,fold,accuracy,f1_macro,fit_time_s,predict_time_s,peak_mem_kb
70/30,42,LDA,2,0.891566265060241,0.9106481251061015,0.002197659999183088,0.09194958199987013,495.54296875
70/30,42,LDA,3,0.9087481146304676,0.9258122993813229,0.002196649999859801,0.09199601499949495,495.79296875
70/30,42,LDA,4,0.899546827794562,0.9184318640124419,0.002205474999755097,0.09198325699981069,495.91796875
70/30,42,LDA,5,0.9018126888217523,0.9144479254224459,0.0022595469999941997,0.0910375670000576,495.91796875
70/30,42,QDA,1,0.8963185574755823,0.916354190964128,0.0026313230000596377,0.0773208889995658,506.564453125
70/30,42,QDA,2,0.8968373493975904,0.916202932583995,0.002525533999687468,0.07747526499952073,506.6630859375
70/30,42,QDA,3,0.8966817496229261,0.9219448020536233,0.0025177679999615066,0.07812258000012662,506.751953125
70/30,42,QDA,4,0.9063444108761329,0.9274077889409564,0.0025332800005344325,0.07651449299919477,506.876953125
70/30,42,QDA,5,0.9003021148036254,0.9151136663469828,0.0025493560005998006,0.07787538699994911,506.876953125
70/30,42,GNB,1,0.8933132982719759,0.9004940026199105,0.0027565109994611703,0.0007452469999407185,730.421875
70/30,42,GNB,2,0.8960843373493976,0.908334012171378,0.0027101899995614076,0.000738442000510986,730.796875
70/30,42,GNB,3,0.8929110105580694,0.9040714709109438,0.0026570009995339205,0.0007348569997702725,731.0703125
70/30,42,GNB,4,0.8972809667673716,0.9065535845810809,0.0026586530002532527,0.0007925489999252022,731.3203125
70/30,42,GNB,5,0.9018126888217523,0.9076758013674173,0.002652690000104485,0.0007323809995796182,731.3203125
70/30,43,OVR_GD,1,0.864763335837716,0.790636807594665,0.5187279730007504,0.0005579810003837338,1258.1484375
70/30,43,OVR_GD,2,0.8659638554216867,0.8045907846603113,0.5291365160001078,0.0005541090004044236,1258.5
70/30,43,OVR_GD,3,0.8521870286576169,0.7666296335870527,0.5290146970000933,0.000556429000425851,1258.9375
70/30,43,OVR_GD,4,0.8481873111782477,0.7721340612952943,0.5303521750001892,0.000561995999305509,1259.375
70/30,43,OVR_GD,5,0.8655589123867069,0.7875562649411532,0.5564920269998765,0.0006065900006433367,1259.375
70/30,43,OVO_GD,1,0.9000751314800901,0.8977659850833893,0.6480382750005447,0.041444912999395456,1049.634765625
70/30,43,OVO_GD,2,0.8968373493975904,0.8885423200453497,0.6046172559999832,0.03792865800005529,1049.2041015625
70/30,43,OVO_GD,3,0.889894419306184,0.8865547879283302,0.6135432929995659,0.03834893800012651,1049.5576171875
70/30,43,OVO_GD,4,0.898036253776435,0.8902874391526379,0.6061910650005302,0.038390423000237206,1049.5595703125
70/30,43,OVO_GD,5,0.9070996978851964,0.8991955575735039,0.6070840390002559,0.04809514800035686,1049.5595703125
70/30,43,Softmax_GD,1,0.8835462058602555,0.8774313161567775,0.3725092089998725,0.000251286000093387,2940.8515625
70/30,43,Softmax_GD,2,0.8817771084337349,0.8722595808239045,0.33186747699983243,0.000248216999352735,2942.4921875
70/30,43,Softmax_GD,3,0.8770739064856712,0.8699301549817372,0.3319481499993344,0.0002456090005580336,2943.5703125
70/30,43,Softmax_GD,4,0.8761329305135952,0.8667224569742962,0.34106831200006127,0.0002449369994792505,2944.6484375
70/30,43,Softmax_GD,5,0.8919939577039275,0.8819939055572225,0.36073345599925233,0.00025761300003068754,2944.6484375
70/30,43,LDA,1,0.9158527422990232,0.9302993180845401,0.002233283999885316,0.09355451800001902,495.66796875
70/30,43,LDA,2,0.9066265060240963,0.9252839688008507,0.002176779000365059,0.09233407400006399,495.54296875
70/30,43,LDA,3,0.8838612368024132,0.9065282871118793,0.002197226000134833,0.09118650000073103,495.79296875
70/30,43,LDA,4,0.8957703927492447,0.9148422874724872,0.002183976000196708,0.09089408399995591,495.91796875
70/30,43,LDA,5,0.9070996978851964,0.9215049209319276,0.002162464999855729,0.09175770199999533,495.91796875
70/30,43,QDA,1,0.9166040570999249,0.9369805892472415,0.00256688999979815,0.07743780199962202,506.564453125
70/30,43,QDA,2,0.8968373493975904,0.9170782342351605,0.002527810000174213,0.07905996800036519,506.6630859375
70/30,43,QDA,3,0.8951734539969834,0.9172418633505153,0.0026535500001045875,0.07945171800020034,506.8056640625
70/30,43,QDA,4,0.8882175226586103,0.9125686927614248,0.002613878000374825,0.08200785200006067,506.9306640625
70/30,43,QDA,5,0.904833836858006,0.9225564953767398,0.002509709000150906,0.07701382800041756,506.9306640625
70/30,43,GNB,1,0.898572501878287,0.907740245213661,0.002670316999683564,0.001005714999337215,730.421875
70/30,43,GNB,2,0.9051204819277109,0.9161481172335125,0.0026613670006554457,0.0007396460005111294,730.796875
70/30,43,GNB,3,0.8929110105580694,0.9075932134134836,0.002693943999474868,0.0007415259997287649,731.0703125
70/30,43,GNB,4,0.8972809667673716,0.9074191093877528,0.0026765299999169656,0.0007298559994524112,731.3203125
70/30,43,GNB,5,0.9040785498489426,0.9116158168934982,0.0026381850002508145,0.0007401630000458681,731.3203125
70/30,44,OVR_GD,1,0.8489857250187829,0.7888810348853292,0.5286371419997522,0.0005519570004253183,1258.1484375
70/30,44,OVR_GD,2,0.865210843373494,0.8078090577053786,0.5233227810003882,0.00058376800006954,1258.5
70/30,44,OVR_GD,3,0.8552036199095022,0.7813149365139178,0.5222031379998953,0.0005445269998745061,1258.9375
70/30,44,OVR_GD,4,0.8738670694864048,0.787066567175706,0.5271917390000453,0.0005651399997077533,1259.375
70/30,44,OVR_GD,5,0.8512084592145015,0.763464696236851,0.5239447849999124,0.0005561030002354528,1259.375
70/30,44,OVO_GD,1,0.8925619834710744,0.892638477227688,0.6055335090004519,0.03947316599987971,1048.826171875
70/30,44,OVO_GD,2,0.8960843373493976,0.8877440985849632,0.6070421510003143,0.03799339499983034,1049.2041015625
70/30,44,OVO_GD,3,0.8883861236802413,0.878080364633426,0.6057737490000363,0.038564557999961835,1049.5576171875
70/30,44,OVO_GD,4,0.9131419939577039,0.9107440917825199,0.6077677049997874,0.03907670299940946,1049.5595703125
70/30,44,OVO_GD,5,0.8972809667673716,0.8958270917386227,0.6076070810004239,0.03853822700057208,1049.5595703125
70/30,44,Softmax_GD,1,0.8782870022539444,0.8748325332248442,0.33162476799952856,0.00024361000032513402,2940.8515625
70/30,44,Softmax_GD,2,0.8825301204819277,0.8735269181462241,0.3340444790001129,0.00023506700017605908,2942.4921875
70/30,44,Softmax_GD,3,0.8748114630467572,0.8666181319542037,0.3341603720000421,0.0002525139998397208,2943.5703125
70/30,44,Softmax_GD,4,0.9003021148036254,0.9010158221827138,0.3365466960003687,0.0002441119995637564,2944.6484375
70/30,44,Softmax_GD,5,0.8806646525679759,0.8748656614623181,0.3421597530004874,0.00024112200026138453,2944.6484375
70/30,44,LDA,1,0.8948159278737791,0.9160261242163595,0.002292290999321267,0.09176106499944581,495.66796875
70/30,44,LDA,2,0.8945783132530121,0.9111296775668766,0.00226177300010022,0.09349267300058273,495.54296875
70/30,44,LDA,3,0.8981900452488688,0.9213524162787043,0.002269128000079945,0.09152848099984112,495.79296875
70/30,44,LDA,4,0.9131419939577039,0.9296665893703306,0.0022544530002051033,0.09013035800035141,495.91796875
70/30,44,LDA,5,0.8904833836858006,0.9082251989864245,0.0021706650004489347,0.09138290600003529,495.91796875
70/30,44,QDA,1,0.8948159278737791,0.9190478461838899,0.0026077129996338044,0.07676722599990171,506.564453125
70/30,44,QDA,2,0.8990963855421686,0.9152596940524288,0.002506515999812109,0.07787683800052037,506.5556640625
70/30,44,QDA,3,0.8944193061840121,0.9200993969744614,0.002541737000683497,0.07774249599970062,506.9130859375
70/30,44,QDA,4,0.8972809667673716,0.918543100437473,0.0026501710008233204,0.07673919399985607,506.9306640625
70/30,44,QDA,5,0.8942598187311178,0.9114463588754493,0.0025192379998770775,0.07667603800018696,506.876953125
70/30,44,GNB,1,0.8933132982719759,0.909196049671811,0.0027225829999224516,0.0007340820002355031,730.421875
70/30,44,GNB,2,0.8870481927710844,0.8939186263592361,0.002636875999996846,0.0007300770002984791,730.796875
70/30,44,GNB,3,0.8891402714932126,0.9042465112454822,0.002652416999808338,0.0007305930002985406,731.0703125
70/30,44,GNB,4,0.9040785498489426,0.9131300370838984,0.00270025500049087,0.0007342320004681824,731.3203125
70/30,44,GNB,5,0.8882175226586103,0.8999688559895052,0.0026561369995761197,0.0007320579998122412,731.3203125
70/30,45,OVR_GD,1,0.8497370398196844,0.7823316649506733,0.5386633889993391,0.0005563969998547691,1258.1484375
70/30,45,OVR_GD,2,0.8689759036144579,0.7747033160675306,0.5231512599993948,0.0005643410004267935,1258.5
70/30,45,OVR_GD,3,0.8506787330316742,0.7725590467267031,0.5216095810001207,0.0005717650001315633,1258.9375
70/30,45,OVR_GD,4,0.8655589123867069,0.777378516872776,0.524402906999967,0.0005821779996040277,1259.89453125
70/30,45,OVR_GD,5,0.8685800604229608,0.7865907793788071,0.5239529250002306,0.0005583089996434865,1259.375
